day,2018,2019,2020,2021
01월 02일,17849 ,18019 ,20029 ,20079 
01월 03일,17978 ,17474 ,19874 ,21587 
01월 04일,18010 ,18038 ,19474 ,21512 
01월 05일,17424 ,18011 ,18037 ,21565 
01월 08일,18194 ,17939 ,17368 ,14663 
01월 09일,18052 ,17305 ,16069 ,19925 
01월 10일,17901 ,16544 ,13457 ,21643 
01월 11일,17176 ,17061 ,13457 ,21603 
01월 12일,16515 ,17002 ,17935 ,21653 
01월 15일,17498 ,16847 ,18317 ,19900 
01월 16일,17486 ,16412 ,19446 ,21101 
01월 17일,17122 ,17082 ,16095 ,21951 
01월 18일,16502 ,17883 ,18557 ,21836 
01월 19일,16280 ,18283 ,18186 ,21965 
01월 22일,16840 ,18064 ,18067 ,16352 
01월 23일,16761 ,17502 ,18234 ,21457 
01월 24일,16721 ,17502 ,18289 ,22589 
01월 25일,16338 ,18170 ,18420 ,21722 
01월 26일,15901 ,18070 ,18520 ,21716 
01월 29일,16689 ,17839 ,18833 ,13674 
01월 30일,16844 ,17821 ,19107 ,19941 
01월 31일,16930 ,17524 ,14247 ,21276 
02월 01일,17059 ,17468 ,18944 ,21216 
02월 02일,17541 ,16824 ,19163 ,21464 
02월 05일,17982 ,17269 ,19348 ,12967 
02월 06일,18303 ,17538 ,19069 ,21517 
02월 07일,18097 ,17971 ,16635 ,21515 
02월 08일,17699 ,17414 ,19045 ,19279 
02월 09일,17401 ,18455 ,18941 ,21303 
02월 12일,16988 ,18007 ,18862 ,17849 
02월 13일,16988 ,17918 ,18790 ,21149 
02월 14일,17659 ,17690 ,15519 ,21407 
02월 19일,18006 ,15430 ,18708 ,21816 
02월 20일,18531 ,17798 ,18571 ,21312 
02월 21일,18333 ,17744 ,18723 ,15705 
02월 22일,17869 ,17762 ,18570 ,21080 
02월 23일,18310 ,17386 ,16124 ,21097 
02월 26일,17730 ,17542 ,18668 ,19072 
02월 27일,17844 ,17934 ,18608 ,21141 
02월 28일,16225 ,17308 ,19011 ,15633 
03월 02일,17698 ,17173 ,18620 ,21452 
03월 05일,17682 ,16972 ,17114 ,20799 
03월 06일,17651 ,16277 ,18761 ,20832 
03월 07일,17559 ,17322 ,18543 ,20809 
03월 08일,16782 ,17238 ,19129 ,15521 
03월 09일,17777 ,17285 ,18412 ,19830 
03월 12일,17732 ,17255 ,17404 ,20840 
03월 13일,17535 ,17452 ,18617 ,20876 
03월 14일,17104 ,17523 ,18704 ,20786 
03월 15일,16148 ,17573 ,18764 ,16879 
03월 16일,17600 ,17824 ,18257 ,20417 
03월 19일,17464 ,16978 ,13542 ,21072 
03월 20일,17764 ,17079 ,18511 ,20864 
03월 21일,17108 ,17759 ,18693 ,20941 
03월 22일,16956 ,17797 ,19346 ,14458 
03월 23일,17687 ,18010 ,18487 ,20633 
03월 26일,18054 ,17736 ,14860 ,21075 
03월 27일,18494 ,17691 ,19180 ,20918 
03월 28일,18393 ,17859 ,19497 ,21074 
03월 29일,17887 ,17592 ,19437 ,17152 
03월 30일,18017 ,17406 ,19037 ,21695 
04월 02일,17936 ,17380 ,18062 ,21448 
04월 03일,18182 ,16825 ,19620 ,20838 
04월 04일,17396 ,17496 ,19847 ,20556 
04월 05일,17471 ,17262 ,19739 ,16455 
04월 06일,18216 ,17175 ,16865 ,20241 
04월 09일,18134 ,15458 ,20346 ,20214 
04월 10일,18324 ,15177 ,20341 ,19844 
04월 11일,17778 ,17301 ,20211 ,19607 
04월 12일,16262 ,17104 ,19750 ,15243 
04월 13일,18015 ,17109 ,19060 ,19255 
04월 16일,18150 ,16533 ,20396 ,19725 
04월 17일,17882 ,15422 ,20001 ,20203 
04월 18일,17163 ,17178 ,19883 ,20227 
04월 19일,16193 ,17254 ,19934 ,17130 
04월 20일,17808 ,16827 ,14772 ,20359 
04월 23일,17999 ,16071 ,18727 ,20262 
04월 24일,17732 ,14461 ,20011 ,21026 
04월 25일,17313 ,17476 ,19963 ,21196 
04월 26일,16251 ,17381 ,19649 ,16095 
04월 27일,17742 ,17038 ,19641 ,21542 
04월 30일,17712 ,15592 ,20189 ,21145 
05월 02일,17481 ,17962 ,20182 ,20684 
05월 03일,16986 ,17889 ,20396 ,20286 
05월 04일,13782 ,17983 ,20217 ,17299 
05월 08일,17542 ,17580 ,18956 ,19730 
05월 09일,17631 ,16767 ,20542 ,20338 
05월 10일,17507 ,18149 ,20521 ,20439 
05월 11일,15628 ,18150 ,20906 ,20431 
05월 14일,18137 ,18019 ,21304 ,13795 
05월 15일,18032 ,16733 ,18523 ,19836 
05월 16일,18465 ,15551 ,21372 ,21150 
05월 17일,18403 ,18071 ,21607 ,20597 
05월 18일,17035 ,18043 ,22259 ,20561 
05월 21일,18067 ,18386 ,22409 ,(15910)
05월 23일,18349 ,17785 ,17790 ,15910 
05월 24일,18293 ,15710 ,22227 ,20297 
05월 25일,17897 ,18601 ,22223 ,22418 
05월 28일,17058 ,18332 ,21885 ,21071 
05월 29일,18417 ,17088 ,20560 ,20333 
05월 30일,18176 ,18354 ,20266 ,19752 
05월 31일,18462 ,15122 ,20493 ,20160 
06월 01일,18367 ,18243 ,19519 ,17549 
