day,2018,2019,2020,2021
01월 02일,24200 ,12800 ,15500 ,29720 
01월 03일,24200 ,12800 ,16200 ,30960 
01월 04일,24000 ,13000 ,17400 ,33580 
01월 05일,23800 ,13000 ,18600 ,34580 
01월 08일,23800 ,12800 ,19100 ,34580 
01월 09일,23800 ,12800 ,18900 ,35420 
01월 10일,23800 ,12000 ,19100 ,36560 
01월 11일,23800 ,12000 ,19200 ,38160 
01월 12일,24000 ,12200 ,19200 ,38560 
01월 15일,23800 ,12200 ,19200 ,38560 
01월 16일,23800 ,12460 ,19000 ,38560 
01월 17일,24000 ,12460 ,19000 ,38960 
01월 18일,24000 ,12460 ,19000 ,38360 
01월 19일,24000 ,12460 ,19000 ,38420 
01월 22일,23700 ,11880 ,19200 ,38220 
01월 23일,23700 ,11880 ,19000 ,38020 
01월 24일,23700 ,11880 ,18750 ,38220 
01월 25일,23700 ,11880 ,18800 ,36980 
01월 26일,24100 ,11880 ,18800 ,36980 
01월 29일,24100 ,11880 ,18600 ,36980 
01월 30일,24100 ,11880 ,18600 ,36980 
01월 31일,23600 ,12080 ,18400 ,36980 
02월 01일,23600 ,12080 ,18200 ,37580 
02월 02일,23600 ,11880 ,18200 ,37580 
02월 05일,23400 ,11680 ,18200 ,37880 
02월 06일,23200 ,11680 ,18200 ,38080 
02월 07일,23200 ,11880 ,18500 ,38760 
02월 08일,23200 ,11880 ,18300 ,39720 
02월 09일,23200 ,11880 ,18000 ,40520 
02월 12일,22800 ,11880 ,18900 ,40920 
02월 13일,22600 ,12080 ,19700 ,42560 
02월 14일,23000 ,12080 ,20500 ,42760 
02월 19일,22600 ,12480 ,22200 ,43800 
02월 20일,22400 ,12480 ,23000 ,44440 
02월 21일,22400 ,12480 ,24250 ,44000 
02월 22일,21200 ,12280 ,25750 ,43860 
02월 23일,21200 ,12280 ,27000 ,43860 
02월 26일,21200 ,12280 ,29750 ,43400 
02월 27일,21200 ,12480 ,32000 ,42920 
02월 28일,20800 ,12480 ,32500 ,42920 
03월 02일,20400 ,12880 ,29000 ,41740 
03월 05일,20400 ,13400 ,26500 ,41340 
03월 06일,20200 ,13400 ,25500 ,40540 
03월 07일,20200 ,13000 ,25000 ,39800 
03월 08일,20000 ,13000 ,24500 ,39260 
03월 09일,18600 ,13200 ,23400 ,38260 
03월 12일,19000 ,13200 ,23200 ,37460 
03월 13일,18800 ,13200 ,24400 ,37340 
03월 14일,18600 ,13200 ,24400 ,39260 
03월 15일,18600 ,13200 ,24400 ,39340 
03월 16일,18600 ,13400 ,23600 ,39740 
03월 19일,17600 ,13700 ,23600 ,39800 
03월 20일,17400 ,13500 ,22800 ,39800 
03월 21일,17200 ,13500 ,21600 ,39800 
03월 22일,17200 ,14200 ,21200 ,40460 
03월 23일,16800 ,14000 ,20800 ,40060 
03월 26일,16800 ,14000 ,20800 ,38660 
03월 27일,16400 ,14400 ,20800 ,32340 
03월 28일,16400 ,14400 ,21200 ,30000 
03월 29일,16000 ,14700 ,21600 ,30000 
03월 30일,15600 ,15600 ,24200 ,30660 
04월 02일,15000 ,16000 ,23800 ,31940 
04월 03일,15000 ,15800 ,24200 ,32500 
04월 04일,14800 ,15240 ,24700 ,32000 
04월 05일,14200 ,16500 ,24900 ,32000 
04월 06일,14200 ,18100 ,23000 ,31550 
04월 09일,13400 ,18300 ,23600 ,31550 
04월 10일,13200 ,18500 ,22600 ,27960 
04월 11일,13200 ,18500 ,21000 ,26500 
04월 12일,13600 ,17100 ,20800 ,25700 
04월 13일,13600 ,16900 ,25200 ,23840 
04월 16일,13400 ,16900 ,24200 ,23440 
04월 17일,13400 ,21360 ,23000 ,20360 
04월 18일,13200 ,20800 ,22800 ,18740 
04월 19일,12800 ,19200 ,24400 ,17340 
04월 20일,17800 ,17600 ,24400 ,17740 
04월 23일,18000 ,17600 ,23800 ,17540 
04월 24일,19000 ,17200 ,22400 ,17540 
04월 25일,20400 ,17200 ,22200 ,17340 
04월 26일,20800 ,16200 ,20600 ,16340 
04월 27일,20600 ,16600 ,20400 ,15780 
04월 30일,20600 ,16600 ,19800 ,16120 
05월 02일,20400 ,17600 ,20800 ,15720 
05월 03일,20600 ,16800 ,20200 ,15680 
05월 04일,20400 ,16600 ,20200 ,15680 
05월 08일,18600 ,15600 ,20200 ,15480 
05월 09일,18200 ,14800 ,19000 ,14820 
05월 10일,18200 ,13300 ,19400 ,14820 
05월 11일,18200 ,12800 ,20600 ,14820 
05월 14일,17800 ,12300 ,23000 ,14140 
05월 15일,17400 ,12100 ,23400 ,13540 
05월 16일,16600 ,12000 ,21000 ,13340 
05월 17일,16400 ,11800 ,21000 ,13340 
05월 18일,16200 ,11800 ,20600 ,13540 
05월 21일,15600 ,11400 ,20600 ,13540 
05월 23일,16000 ,11400 ,20600 ,13560 
05월 24일,16000 ,11800 ,19200 ,13560 
05월 25일,14400 ,11600 ,19000 ,13560 
05월 28일,13200 ,11300 ,18600 ,13340 
05월 29일,13200 ,11100 ,17600 ,12760 
05월 30일,13200 ,11500 ,16200 ,11940 
05월 31일,13400 ,12000 ,14600 ,11840 
06월 01일,13400 ,12200 ,14400 ,12240 
06월 04일,13600 ,12000 ,14800 ,12240 
06월 05일,13600 ,11400 ,13800 ,12240 
06월 07일,15000 ,11200 ,14000 ,13200 
06월 08일,15000 ,11200 ,13600 ,12800 
06월 11일,14200 ,11200 ,13200 ,13540 
06월 12일,14600 ,10200 ,12800 ,13740 
06월 14일,14800 ,9900 ,12800 ,14060 
06월 15일,14800 ,9100 ,12800 ,15000 
06월 18일,14800 ,8400 ,14200 ,15140 
06월 19일,14600 ,8400 ,14200 ,15140 
06월 20일,14200 ,8400 ,14400 ,15240 
06월 21일,14100 ,8500 ,14600 ,15400 
06월 22일,13800 ,8500 ,14600 ,14640 
06월 25일,13400 ,8700 ,14480 ,14640 
06월 26일,13000 ,8700 ,14680 ,13840 
06월 27일,13000 ,8700 ,14120 ,13840 
06월 28일,13000 ,8600 ,14160 ,13940 
06월 29일,13000 ,9000 ,14460 ,
07월 02일,13000 ,8800 ,14140 ,
07월 03일,13000 ,8800 ,13640 ,
07월 04일,13200 ,8800 ,13640 ,
07월 05일,13000 ,8400 ,13640 ,
07월 06일,12800 ,8400 ,14100 ,
07월 09일,12800 ,8400 ,14700 ,
07월 10일,13200 ,8400 ,14700 ,
07월 11일,13400 ,8400 ,14700 ,
07월 12일,13600 ,8400 ,14540 ,
07월 13일,13600 ,8300 ,14540 ,
07월 16일,13800 ,8400 ,15240 ,
07월 17일,13800 ,8400 ,15400 ,
07월 18일,13800 ,8400 ,15400 ,
07월 19일,13600 ,8400 ,15300 ,
07월 20일,13600 ,8400 ,15300 ,
07월 23일,13800 ,8600 ,15300 ,
07월 24일,13000 ,8600 ,16300 ,
07월 25일,13000 ,8400 ,16900 ,
07월 26일,13000 ,8300 ,16900 ,
07월 27일,12920 ,8200 ,16900 ,
07월 30일,13320 ,8400 ,17800 ,
07월 31일,13400 ,8400 ,17900 ,
08월 01일,13400 ,8400 ,19220 ,
08월 02일,13400 ,9000 ,20360 ,
08월 03일,14000 ,9400 ,20460 ,
08월 06일,14600 ,9200 ,20860 ,
08월 07일,14600 ,9600 ,20660 ,
08월 08일,15400 ,9400 ,20460 ,
08월 09일,15200 ,10000 ,20220 ,
08월 10일,15600 ,10000 ,19720 ,
08월 13일,16200 ,10300 ,20220 ,
08월 14일,15600 ,10300 ,20220 ,
08월 16일,15800 ,10500 ,20220 ,
08월 17일,15800 ,10300 ,20780 ,
08월 20일,16200 ,10000 ,20780 ,
08월 21일,16200 ,10100 ,20380 ,
08월 22일,16200 ,10100 ,20580 ,
08월 23일,15800 ,10200 ,20580 ,
08월 24일,15800 ,10200 ,20580 ,
08월 27일,16200 ,10200 ,20480 ,
08월 28일,15800 ,10200 ,20500 ,
08월 29일,15800 ,10200 ,20500 ,
08월 30일,15800 ,10200 ,20700 ,
08월 31일,15000 ,10400 ,20700 ,
09월 03일,15600 ,10400 ,20700 ,
09월 04일,15400 ,10200 ,22180 ,
09월 05일,15400 ,10100 ,21980 ,
09월 06일,15600 ,10300 ,22780 ,
09월 07일,16000 ,10500 ,23380 ,
09월 10일,16200 ,11200 ,23380 ,
09월 11일,16200 ,11000 ,23580 ,
09월 12일,15800 ,11000 ,23840 ,
09월 13일,15800 ,10800 ,24440 ,
09월 14일,15800 ,11600 ,24640 ,
09월 17일,15800 ,11400 ,24640 ,
09월 18일,15800 ,11400 ,23920 ,
09월 19일,15200 ,11000 ,23720 ,
09월 20일,15200 ,11000 ,23920 ,
09월 21일,15200 ,11000 ,23720 ,
09월 27일,15000 ,11000 ,23920 ,
09월 28일,15200 ,10300 ,23720 ,
10월 01일,15200 ,10300 ,23720 ,
10월 02일,14800 ,10200 ,23720 ,
10월 04일,14800 ,10200 ,23720 ,
10월 05일,14800 ,10000 ,23720 ,
10월 08일,14800 ,10100 ,23720 ,
10월 10일,14800 ,10100 ,23720 ,
10월 11일,14400 ,10300 ,23980 ,
10월 12일,14400 ,10300 ,24820 ,
10월 15일,14800 ,10300 ,24820 ,
10월 16일,14800 ,10700 ,24820 ,
10월 17일,14500 ,10600 ,24820 ,
10월 18일,14300 ,10600 ,24820 ,
10월 19일,14500 ,10600 ,23880 ,
10월 22일,14500 ,10600 ,22320 ,
10월 23일,14100 ,10400 ,22320 ,
10월 24일,14100 ,10400 ,22520 ,
10월 25일,13600 ,10200 ,22520 ,
10월 26일,13600 ,10200 ,22720 ,
10월 29일,13600 ,10200 ,22720 ,
10월 30일,13800 ,10700 ,23520 ,
10월 31일,14000 ,10700 ,23520 ,
11월 01일,14200 ,10700 ,23640 ,
11월 02일,14200 ,10700 ,24540 ,
11월 05일,14200 ,10700 ,25220 ,
11월 06일,14600 ,10700 ,25020 ,
11월 07일,14600 ,11200 ,25220 ,
11월 08일,14600 ,11200 ,25220 ,
11월 09일,14400 ,11200 ,25020 ,
11월 12일,14400 ,11700 ,25220 ,
11월 13일,14400 ,11700 ,25320 ,
11월 14일,14400 ,11800 ,25420 ,
11월 15일,14800 ,11800 ,25220 ,
11월 16일,13800 ,11800 ,25220 ,
11월 19일,13800 ,11800 ,25220 ,
11월 20일,14100 ,12000 ,25220 ,
11월 21일,13700 ,12900 ,25220 ,
11월 22일,13700 ,12900 ,24520 ,
11월 23일,13300 ,12900 ,24520 ,
11월 26일,13300 ,12700 ,24720 ,
11월 27일,13300 ,13200 ,26840 ,
11월 28일,13300 ,12700 ,26640 ,
11월 29일,13300 ,12800 ,26640 ,
11월 30일,13300 ,13200 ,26640 ,
12월 03일,13200 ,13200 ,26640 ,
12월 04일,13600 ,14400 ,26640 ,
12월 05일,13400 ,14200 ,26640 ,
12월 06일,13400 ,14400 ,26640 ,
12월 10일,13400 ,14800 ,26320 ,
12월 11일,13400 ,15000 ,26320 ,
12월 12일,13400 ,15800 ,26720 ,
12월 13일,13400 ,15600 ,25920 ,
12월 14일,13400 ,15200 ,25880 ,
12월 17일,13400 ,14900 ,25880 ,
12월 18일,13200 ,15300 ,26080 ,
12월 19일,13200 ,15300 ,27080 ,
12월 20일,13000 ,15300 ,27080 ,
12월 21일,13000 ,15000 ,27280 ,
12월 24일,13000 ,14800 ,27280 ,
12월 26일,13000 ,14200 ,27280 ,
12월 27일,13000 ,14200 ,27580 ,
12월 28일,12800 ,14600 ,28980 ,
12월 31일,12800 ,15600 ,28980 ,
